# Data from Open Admin Data (https://openadmindata.org/az/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/azerbaijan-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.district,children_count.settlement,zip_codes,geo.lat,geo.lon,source_url
AZ307,1,Rayon,District,Qobustan,Gobustan,gobustan,AZ307,,,,,,33,,40.534,48.909,https://openadmindata.org/az/districts/gobustan/
AZ308,1,Rayon,District,Abşeron,Absheron,absheron,AZ308,,,,,,17,,40.493,49.725,https://openadmindata.org/az/districts/absheron/
AZ309,1,Rayon,District,Sumqayıt,Sumgayit,sumgayit,AZ309,,,,,,2,,40.594,49.641,https://openadmindata.org/az/districts/sumgayit/
AZ401,1,Rayon,District,Balakən,Balakan,balakan,AZ401,,,,,,59,,41.685,46.352,https://openadmindata.org/az/districts/balakan/
AZ402,1,Rayon,District,Zaqatala,Zagatala,zagatala,AZ402,,,,,,62,,41.564,46.603,https://openadmindata.org/az/districts/zagatala/
AZ403,1,Rayon,District,Qax,Gakh,gakh,AZ403,,,,,,59,,41.386,46.844,https://openadmindata.org/az/districts/gakh/
AZ404,1,Rayon,District,Şəki,Shaki,shaki,AZ404,,,,,,71,,41.111,47.165,https://openadmindata.org/az/districts/shaki/
AZ405,1,Rayon,District,Oğuz,Oghuz,oghuz,AZ405,,,,,,34,,40.99,47.514,https://openadmindata.org/az/districts/oghuz/
AZ406,1,Rayon,District,Qəbələ,Gabala,gabala,AZ406,,,,,,64,,40.903,47.776,https://openadmindata.org/az/districts/gabala/
AZ407,1,Rayon,District,İsmayıllı,Ismayilli,ismayilli,AZ407,,,,,,108,,40.773,48.213,https://openadmindata.org/az/districts/ismayilli/
AZ408,1,Rayon,District,Göyçay,Goychay,goychay,AZ408,,,,,,56,,40.583,47.798,https://openadmindata.org/az/districts/goychay/
AZ409,1,Rayon,District,Ağsu,Aghsu,aghsu,AZ409,,,,,,80,,40.548,48.367,https://openadmindata.org/az/districts/aghsu/
AZ410,1,Rayon,District,Şamaxı,Shamakhi,shamakhi,AZ410,,,,,,63,,40.644,48.629,https://openadmindata.org/az/districts/shamakhi/
AZ501,1,Rayon,District,Qazax,Gazakh,gazakh,AZ501,,,,,,34,,41.115,45.228,https://openadmindata.org/az/districts/gazakh/
AZ502,1,Rayon,District,Ağstafa,Aghstafa,aghstafa,AZ502,,,,,,39,,41.182,45.395,https://openadmindata.org/az/districts/aghstafa/
AZ503,1,Rayon,District,Tovuz,Tovuz,tovuz,AZ503,,,,,,104,,40.815,45.627,https://openadmindata.org/az/districts/tovuz/
AZ504,1,Rayon,District,Şəmkir,Shamkir,shamkir,AZ504,,,,,,66,,40.813,46.039,https://openadmindata.org/az/districts/shamkir/
AZ505,1,Rayon,District,Gədəbəy,Gadabey,gadabey,AZ505,,,,,,109,,40.608,45.654,https://openadmindata.org/az/districts/gadabey/
AZ506,1,Rayon,District,Daşkəsən,Dashkasan,dashkasan,AZ506,,,,,,49,,40.483,46.061,https://openadmindata.org/az/districts/dashkasan/
AZ507,1,Rayon,District,Samux,Samukh,samukh,AZ507,,,,,,35,,40.839,46.383,https://openadmindata.org/az/districts/samukh/
AZ508,1,Rayon,District,Göygöl,Goygol,goygol,AZ508,,,,,,45,,40.58,46.309,https://openadmindata.org/az/districts/goygol/
AZ509,1,Rayon,District,Goranboy,Goranboy,goranboy,AZ509,,,,,,87,,40.6,46.668,https://openadmindata.org/az/districts/goranboy/
AZ510,1,Rayon,District,Naftalan,Naftalan,naftalan,AZ510,,,,,,3,,40.5,46.815,https://openadmindata.org/az/districts/naftalan/
AZ601,1,Rayon,District,Kəlbəcər,Kalbajar,kalbajar,AZ601,,,,,,126,,40.1,46.122,https://openadmindata.org/az/districts/kalbajar/
AZ602,1,Rayon,District,Laçın,Lachin,lachin,AZ602,,,,,,127,,39.712,46.464,https://openadmindata.org/az/districts/lachin/
AZ603,1,Rayon,District,Qubadlı,Gubadli,gubadli,AZ603,,,,,,94,,39.335,46.613,https://openadmindata.org/az/districts/gubadli/
AZ604,1,Rayon,District,Zəngilan,Zangilan,zangilan,AZ604,,,,,,85,,39.11,46.639,https://openadmindata.org/az/districts/zangilan/
AZ605,1,Rayon,District,Cəbrayıl,Jabrayil,jabrayil,AZ605,,,,,,97,,39.354,47.012,https://openadmindata.org/az/districts/jabrayil/
AZ606,1,Rayon,District,Füzuli,Fuzuli,fuzuli,AZ606,,,,,,100,,39.573,47.279,https://openadmindata.org/az/districts/fuzuli/
AZ607,1,Rayon,District,Beyləqan,Beylagan,beylagan,AZ607,,,,,,42,,39.76,47.692,https://openadmindata.org/az/districts/beylagan/
AZ608,1,Rayon,District,Ağcabədi,Aghjabadi,aghjabadi,AZ608,,,,,,46,,40.038,47.277,https://openadmindata.org/az/districts/aghjabadi/
AZ609,1,Rayon,District,Ağdam,Aghdam,aghdam,AZ609,,,,,,129,,40.075,47.004,https://openadmindata.org/az/districts/aghdam/
AZ610,1,Rayon,District,Bərdə,Barda,barda,AZ610,,,,,,111,,40.363,47.17,https://openadmindata.org/az/districts/barda/
AZ611,1,Rayon,District,Tərtər,Tartar,tartar,AZ611,,,,,,50,,40.354,46.985,https://openadmindata.org/az/districts/tartar/
AZ612,1,Rayon,District,Ağdərə,Aghdere,aghdere,AZ612,,,,,,59,,40.167,46.679,https://openadmindata.org/az/districts/aghdere/
AZ701,1,Rayon,District,Xocalı,Khojali,khojali,AZ701,,,,,,52,,39.864,46.779,https://openadmindata.org/az/districts/khojali/
AZ702,1,Rayon,District,Şuşa,Shusha,shusha,AZ702,,,,,,39,,39.754,46.659,https://openadmindata.org/az/districts/shusha/
AZ703,1,Rayon,District,Xocavənd,Khojavand,khojavand,AZ703,,,,,,83,,39.647,46.987,https://openadmindata.org/az/districts/khojavand/
AZ704,1,Rayon,District,Xankəndi,Khankendi,khankendi,AZ704,,,,,,2,,39.808,46.744,https://openadmindata.org/az/districts/khankendi/
AZ801,1,Rayon,District,Astara,Astara,astara,AZ801,,,,,,92,,38.551,48.741,https://openadmindata.org/az/districts/astara/
AZ802,1,Rayon,District,Lənkəran,Lankaran,lankaran,AZ802,,,,,,93,,38.757,48.76,https://openadmindata.org/az/districts/lankaran/
AZ803,1,Rayon,District,Lerik,Lerik,lerik,AZ803,,,,,,162,,38.746,48.461,https://openadmindata.org/az/districts/lerik/
AZ804,1,Rayon,District,Yardımlı,Yardimli,yardimli,AZ804,,,,,,88,,38.923,48.283,https://openadmindata.org/az/districts/yardimli/
AZ805,1,Rayon,District,Masallı,Masalli,masalli,AZ805,,,,,,103,,39.015,48.674,https://openadmindata.org/az/districts/masalli/
AZ806,1,Rayon,District,Cəlilabad,Jalilabad,jalilabad,AZ806,,,,,,121,,39.199,48.398,https://openadmindata.org/az/districts/jalilabad/
AZ807,1,Rayon,District,Neftçala,Neftchala,neftchala,AZ807,,,,,,52,,39.383,49.069,https://openadmindata.org/az/districts/neftchala/
AZ808,1,Rayon,District,Biləsuvar,Bilasuvar,bilasuvar,AZ808,,,,,,26,,39.462,48.528,https://openadmindata.org/az/districts/bilasuvar/
AZ809,1,Rayon,District,Salyan,Salyan,salyan,AZ809,,,,,,51,,39.667,48.983,https://openadmindata.org/az/districts/salyan/
AZ901,1,Rayon,District,Yevlax,Yevlakh,yevlakh,AZ901,,,,,,50,,40.637,47.105,https://openadmindata.org/az/districts/yevlakh/
AZ902,1,Rayon,District,Mingəçevir,Mingachevir,mingachevir,AZ902,,,,,,1,,40.773,46.987,https://openadmindata.org/az/districts/mingachevir/
AZ903,1,Rayon,District,Ağdaş,Aghdash,aghdash,AZ903,,,,,,74,,40.608,47.441,https://openadmindata.org/az/districts/aghdash/
AZ904,1,Rayon,District,Ucar,Ujar,ujar,AZ904,,,,,,30,,40.46,47.706,https://openadmindata.org/az/districts/ujar/
AZ905,1,Rayon,District,Zərdab,Zardab,zardab,AZ905,,,,,,42,,40.213,47.684,https://openadmindata.org/az/districts/zardab/
AZ906,1,Rayon,District,Kürdəmir,Kurdamir,kurdamir,AZ906,,,,,,62,,40.256,48.203,https://openadmindata.org/az/districts/kurdamir/
AZ907,1,Rayon,District,İmişli,Imishli,imishli,AZ907,,,,,,51,,39.858,48.072,https://openadmindata.org/az/districts/imishli/
AZ908,1,Rayon,District,Saatlı,Saatli,saatli,AZ908,,,,,,44,,39.902,48.436,https://openadmindata.org/az/districts/saatli/
AZ909,1,Rayon,District,Sabirabad,Sabirabad,sabirabad,AZ909,,,,,,75,,39.961,48.656,https://openadmindata.org/az/districts/sabirabad/
AZ910,1,Rayon,District,Hacıqabul,Hajigabul,hajigabul,AZ910,,,,,,31,,40.101,48.893,https://openadmindata.org/az/districts/hajigabul/
AZ911,1,Rayon,District,Şirvan,Shirvan,shirvan,AZ911,,,,,,3,,39.92,48.917,https://openadmindata.org/az/districts/shirvan/
