# Data from Open Admin Data (https://openadmindata.org/az/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/azerbaijan-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.district,children_count.settlement,zip_codes,geo.lat,geo.lon,source_url
AZ1001,1,Rayon,District,Binəqədi,Binagadi,binagadi,AZ1001,,,,,,6,,40.444,49.773,https://openadmindata.org/az/districts/binagadi/
AZ1002,1,Rayon,District,Qaradağ,Garadagh,garadagh,AZ1002,,,,,,21,,40.174,49.527,https://openadmindata.org/az/districts/garadagh/
AZ1003,1,Rayon,District,Xəzər,Khazar,khazar,AZ1003,,,,,,8,,40.451,50.17,https://openadmindata.org/az/districts/khazar/
AZ1004,1,Rayon,District,Xətai,Khatai,khatai,AZ1004,,,,,,1,,40.373,49.957,https://openadmindata.org/az/districts/khatai/
AZ1005,1,Rayon,District,Səbail,Sebail,sebail,AZ1005,,,,,,2,,40.321,49.818,https://openadmindata.org/az/districts/sebail/
AZ1006,1,Rayon,District,Sabunçu,Sabunchu,sabunchu,AZ1006,,,,,,9,,40.509,49.958,https://openadmindata.org/az/districts/sabunchu/
AZ1007,1,Rayon,District,Suraxanı,Surakhani,surakhani,AZ1007,,,,,,7,,40.411,50.008,https://openadmindata.org/az/districts/surakhani/
AZ101,1,Rayon,District,Sədərək,Sadarak,sadarak,AZ101,,,,,,5,,39.711,44.904,https://openadmindata.org/az/districts/sadarak/
AZ1010,1,Rayon,District,Nizami,Nizami,nizami,AZ1010,,,,,,1,,40.396,49.896,https://openadmindata.org/az/districts/nizami/
AZ1012,1,Rayon,District,Pirallahı,Pirallahi,pirallahi,AZ1012,,,,,,4,,40.356,50.526,https://openadmindata.org/az/districts/pirallahi/
AZ102,1,Rayon,District,Şərur,Sharur,sharur,AZ102,,,,,,65,,39.543,45.015,https://openadmindata.org/az/districts/sharur/
AZ103,1,Rayon,District,Babək,Babak,babak,AZ103,,,,,,36,,39.28,45.464,https://openadmindata.org/az/districts/babak/
AZ104,1,Rayon,District,Naxçıvan,Nakhchivan,nakhchivan,AZ104,,,,,,7,,39.192,45.4,https://openadmindata.org/az/districts/nakhchivan/
AZ105,1,Rayon,District,Şahbuz,Shahbuz,shahbuz,AZ105,,,,,,24,,39.436,45.61,https://openadmindata.org/az/districts/shahbuz/
AZ106,1,Rayon,District,Culfa,Julfa,julfa,AZ106,,,,,,23,,39.147,45.701,https://openadmindata.org/az/districts/julfa/
AZ107,1,Rayon,District,Ordubad,Ordubad,ordubad,AZ107,,,,,,47,,38.996,45.931,https://openadmindata.org/az/districts/ordubad/
AZ108,1,Rayon,District,Kəngərli,Kangarli,kangarli,AZ108,,,,,,11,,39.386,45.194,https://openadmindata.org/az/districts/kangarli/
AZ2001,1,Rayon,District,Gəncə,Ganja,ganja,AZ2001,,,,,,6,,40.703,46.37,https://openadmindata.org/az/districts/ganja/
AZ2002,1,Rayon,District,Gəncə,Ganja,ganja,AZ2002,,,,,,2,,40.465,46.332,https://openadmindata.org/az/districts/ganja/
AZ301,1,Rayon,District,Qusar,Gusar,gusar,AZ301,,,,,,90,,41.511,48.368,https://openadmindata.org/az/districts/gusar/
AZ302,1,Rayon,District,Xaçmaz,Khachmaz,khachmaz,AZ302,,,,,,151,,41.541,48.751,https://openadmindata.org/az/districts/khachmaz/
AZ303,1,Rayon,District,Quba,Guba,guba,AZ303,,,,,,157,,41.264,48.564,https://openadmindata.org/az/districts/guba/
AZ304,1,Rayon,District,Şabran,Shabran,shabran,AZ304,,,,,,69,,41.203,48.886,https://openadmindata.org/az/districts/shabran/
AZ305,1,Rayon,District,Siyəzən,Siyazan,siyazan,AZ305,,,,,,34,,41.039,49.054,https://openadmindata.org/az/districts/siyazan/
AZ306,1,Rayon,District,Xızı,Khizi,khizi,AZ306,,,,,,29,,40.841,49.13,https://openadmindata.org/az/districts/khizi/
